timestamp,high,low,open,close
1442966400,2.522,2.386,2.48,2.4
1443052800,2.508,2.398,2.4,2.419
1443139200,2.487,2.4,2.419,2.447
1443225600,2.441,2.327,2.447,2.327
1443312000,2.385,2.304,2.327,2.348
1443398400,2.439,2.367,2.348,2.377
1443484800,2.398,2.344,2.377,2.374
1443571200,2.366,2.333,2.374,2.334
1443657600,2.385,2.26,2.334,2.274
1443744000,2.305,2.188,2.274,2.212
1443830400,2.246,2.054,2.212,2.148
1443916800,2.186,2.121,2.148,2.141
1444003200,2.409,2.157,2.141,2.336
1444089600,2.416,2.336,2.336,2.378
1444176000,2.424,2.338,2.378,2.401
1444262400,2.417,2.311,2.401,2.318
1444348800,2.425,2.313,2.318,2.375
1444435200,2.417,2.329,2.375,2.415
1444521600,2.446,2.319,2.415,2.364
1444608000,2.378,2.278,2.364,2.316
1444694400,2.391,2.294,2.316,2.322
1444780800,2.424,2.304,2.322,2.307
1444867200,2.366,2.184,2.307,2.215
1444953600,2.43,2.286,2.215,2.335
1445040000,2.439,2.366,2.335,2.426
1445126400,2.396,2.306,2.426,2.374
1445212800,2.398,2.327,2.374,2.346
1445299200,2.504,2.376,2.346,2.426
1445385600,2.428,2.263,2.426,2.288
1445472000,2.463,2.306,2.288,2.438
1445558400,2.464,2.277,2.438,2.329
1445644800,2.379,2.182,2.329,2.236
1445731200,2.368,2.165,2.236,2.207
1445817600,2.248,2.099,2.207,2.148
1445904000,2.287,2.008,2.148,2.082
1445990400,2.305,2.09,2.082,2.111
1446076800,2.411,2.138,2.111,2.374
1446163200,2.791,2.377,2.374,2.532
1446249600,2.484,2.228,2.532,2.233
1446336000,2.633,2.316,2.233,2.578
1446422400,2.909,2.452,2.578,2.616
1446508800,2.936,2.659,2.616,2.659
1446595200,2.69,2.097,2.659,2.555
1446681600,2.568,2.201,2.555,2.493
1446768000,2.784,2.337,2.493,2.67
1446854400,2.917,2.578,2.67,2.691
1446940800,2.778,2.437,2.691,2.533
1447027200,2.665,2.454,2.533,2.554
1447113600,2.438,2.178,2.554,2.403
1447200000,2.397,2.098,2.403,2.23
1447286400,2.671,2.369,2.23,2.461
1447372800,2.642,2.395,2.461,2.514
1447459200,2.567,2.355,2.514,2.41
1447545600,2.371,2.205,2.41,2.274
1447632000,2.408,2.228,2.274,2.27
1447718400,2.37,2.173,2.27,2.232
1447804800,2.419,2.245,2.232,2.347
1447891200,2.315,2.154,2.347,2.173
1447977600,2.281,2.137,2.173,2.206
1448064000,2.255,2.164,2.206,2.167
1448150400,2.232,2.008,2.167,2.014
1448236800,2.191,2.009,2.014,2.117
1448323200,2.131,2.017,2.117,2.025
1448409600,2.164,2.071,2.025,2.1
1448496000,2.346,2.138,2.1,2.166
1448582400,2.262,2.14,2.166,2.14
1448668800,2.175,2.031,2.14,2.053
1448755200,2.306,2.114,2.053,2.123
1448841600,2.271,2.119,2.123,2.171
1448928000,2.16,2.026,2.171,2.064
1449014400,2.248,2.048,2.064,2.189
1449100800,2.472,2.184,2.189,2.346
1449187200,2.411,2.339,2.346,2.34
1449273600,2.648,2.281,2.34,2.29
1449360000,2.499,2.321,2.29,2.359
1449446400,2.425,2.286,2.359,2.327
1449532800,2.515,2.379,2.327,2.414
1449619200,2.802,2.34,2.414,2.52
1449705600,2.609,2.447,2.52,2.451
1449792000,2.77,2.557,2.451,2.703
1449878400,2.656,2.539,2.703,2.574
1449964800,2.812,2.554,2.574,2.767
1450051200,3.085,2.671,2.767,2.678
1450137600,2.814,2.646,2.678,2.69
1450224000,2.788,2.553,2.69,2.683
1450310400,2.738,2.568,2.683,2.607
1450396800,2.73,2.582,2.607,2.631
1450483200,2.709,2.589,2.631,2.595
1450569600,2.555,2.469,2.595,2.49
1450656000,2.516,2.446,2.49,2.456
